25-10-2016	0,20 €
24-01-2017	0,12 €
22-03-2017	0,15 €
28-06-2017	0,55 €
27-09-2017	0,25 €
27-12-2017	0,18 €
28-03-2018	0,15 €
27-06-2018	0,55 €
26-09-2018	0,32 €
27-12-2018	0,23 €
27-03-2019	0,18 €
26-06-2019	0,65 €
25-09-2019	0,22 €
27-12-2019	0,24 €
25-03-2020	0,17 €
24-06-2020	0,39 €
23-09-2020	0,25 €
23-12-2020	0,23 €
24-03-2021	0,22 €
23-06-2021	0,38 €
22-09-2021	0,32 €
22-12-2021	0,31 €
09-03-2022	0,11 €
08-06-2022	0,93 €
14-09-2022	0,32 €
14-12-2022	0,20 €
08-03-2023	0,17 €
14-06-2023	0,95 €
13-09-2023	0,40 €
13-12-2023	0,28 €
13-03-2024	0,16 €
12-06-2024	0,87 €
11-09-2024	0,31 €
11-12-2024	0,34 €
12-03-2025	0,19 €
11-06-2025	0,90 €
10-09-2025	0,36 €
10-12-2025	0,27 €
11-03-2026	0,21 €
